Price,Close,High,Low,Open,Volume
Ticker,CRM,CRM,CRM,CRM,CRM
Date,,,,,
2021-06-16,238.26785278320312,240.84329159027712,235.40733739103356,237.88448582337688,5099300
2021-06-17,240.2731475830078,242.9763803107922,237.0980820698124,237.8844800450266,5170200
2021-06-18,238.6511993408203,241.82626465970463,236.96044904733495,237.73702243757742,7822200
2021-06-21,240.3223114013672,240.5582353046484,234.82737985635765,239.30982902363894,5895100
2021-06-22,238.97560119628906,240.5582216677596,236.79335396235345,239.6538692553898,4457200
2021-06-23,237.72718811035156,240.34195490051061,236.7540339661303,239.6047096400796,4482400
2021-06-24,239.6243896484375,243.4777233326205,238.57257914061677,239.21153407505653,4987300
2021-06-25,237.7566680908203,240.04704508333924,236.8916438828323,240.03722054663567,15409300
2021-06-28,240.41079711914062,243.37942754938555,239.45729194805628,240.0569187566836,4274900
2021-06-29,241.6296844482422,242.5831895586966,238.30716086751264,240.28298784863483,3871900
2021-06-30,240.1158905029297,242.43575638179524,239.35898110620005,241.30530455563897,4168800
2021-07-01,240.81381225585938,242.39643284315102,238.49394633285974,240.34197944080879,3899600
2021-07-02,243.9790496826172,244.7261345442071,241.6591837952536,242.72081886228045,4056200
2021-07-06,245.9941864013672,248.61877791890103,244.15599288517512,244.76544421155018,5590200
2021-07-07,244.2149658203125,249.18891171742817,243.6448276543376,248.6974148501354,5101400
2021-07-08,241.61985778808594,242.38659168470392,237.62890571099894,240.67617722339793,5159600
2021-07-09,240.89244079589844,243.78244475865012,239.93893567895535,241.41342627225364,4213500
2021-07-12,238.77899169921875,243.05500508749182,237.73702082758385,243.0156919410855,5604500
2021-07-13,239.8701171875,242.9567166808869,237.569900622923,238.16952735568094,6699800
2021-07-14,238.30714416503906,241.96388175518453,235.7906828125288,240.34194822698944,6375700
2021-07-15,233.53965759277344,237.9139767929239,231.80959398757187,237.117754253034,7912600
2021-07-16,234.3751678466797,236.78351427912787,233.72640343969755,234.24738887220207,7288100
2021-07-19,233.51014709472656,234.4439880725153,230.32524223437335,232.48782528801385,8843000
2021-07-20,236.026611328125,239.04439410337673,232.25191922516868,234.64058664992768,8487000
2021-07-21,237.99261474609375,238.84781449923827,234.2179223882146,237.3340107408878,15323100
2021-07-22,244.05767822265625,244.47053378280822,239.20168687340706,239.3589694675489,7868700
2021-07-23,244.0281982421875,246.298911402983,242.48489085626144,245.74843730331068,5877300
2021-07-26,243.38925170898438,244.25427598532949,241.63952408274656,243.97903894295234,3960700
2021-07-27,239.36880493164062,243.91024629920733,237.0882672096573,243.00589384055064,6352500
2021-07-28,239.8111572265625,241.89509913661368,238.86747664506547,239.6735387041873,4100200
2021-07-29,239.88980102539062,241.9737580867584,239.34916643330976,239.34916643330976,3271100
2021-07-30,237.81565856933594,240.086386615055,237.52077245886005,238.86746902767837,3748400
2021-08-02,236.76388549804688,238.34650610418782,234.8175619883992,238.18922349753277,3525700
2021-08-03,237.02926635742188,238.91661238726942,234.97479820576962,237.27501477275555,3077900
2021-08-04,240.01754760742188,240.4893803397392,235.59407636880528,237.5109109056807,4121600
2021-08-05,246.2988739013672,246.63308812538142,239.3982546327803,240.51886673628655,5235200
2021-08-06,246.32838439941406,247.79305039263454,244.98168784814052,244.9915123852639,4045400
2021-08-09,245.0800018310547,248.1272733679669,243.63499986058275,247.14427964651898,3312200
