Price,Close,High,Low,Open,Volume
Ticker,JPM,JPM,JPM,JPM,JPM
Date,,,,,
2021-06-03,146.4461212158203,147.3979300911092,145.1153584967975,145.77633576178008,13354400
2021-06-04,146.68405151367188,146.88674740799655,145.44141124226158,146.48135561934717,8510800
2021-06-07,145.99664306640625,147.2657214064113,145.53836178860107,147.17758573650505,7267200
2021-06-08,145.41497802734375,146.08476338802527,143.7933839240422,144.9655183909461,10370700
2021-06-09,143.59950256347656,144.7275692459046,143.01783939820774,144.65706339730087,12377400
2021-06-10,141.3610076904297,145.6265247887754,141.281693641198,144.85097378041843,12119400
2021-06-11,141.2640380859375,142.06602696463864,140.1800392676803,141.3874199559211,13683800
2021-06-14,138.86691284179688,141.29930415238428,138.0649239266613,141.14066262798954,19917900
2021-06-15,136.7606201171875,138.29409248143494,135.835262542375,138.10020470730186,24485500
2021-06-16,137.7212371826172,138.91098828159832,134.93631620003038,136.36402289785494,25321200
2021-06-17,133.7465362548828,138.7699740309473,133.2970765733641,138.45270441822342,29722400
2021-06-18,130.36233520507812,131.93105343387572,130.04506559433165,131.57853762087572,43595700
2021-06-21,132.57437133789062,133.25297824687993,131.33174463267773,131.38462064809784,18664800
2021-06-22,132.38055419921875,133.0503397628061,131.014531605311,132.72426189532027,14251200
2021-06-23,133.18251037597656,133.99330755464524,132.27476932553137,132.37171319730788,12733300
2021-06-24,134.40753173828125,134.94512717037946,133.2706566494798,133.88756613362082,13733200
2021-06-25,135.76473999023438,136.1613236803624,133.66723439017304,134.47803159707985,15484900
2021-06-28,136.011474609375,136.1436646618677,134.06378933442278,135.45624949367627,14125800
2021-06-29,135.84402465820312,137.75645028385327,135.37693521011235,136.60194566885102,14528700
2021-06-30,137.07786560058594,137.55377676131098,135.4650929103979,135.50033911419163,12531000
2021-07-01,138.43507385253906,138.4879498797741,136.97210767682716,137.7123989533502,10479400
2021-07-02,138.30209350585938,138.5591516947402,137.4954831581547,138.2311813684132,11424000
2021-07-06,135.97979736328125,138.0805173169613,135.0402350806245,138.0805173169613,15083400
2021-07-07,136.13934326171875,136.75094871429897,134.33113079440767,134.7388587460548,12271800
2021-07-08,133.79043579101562,135.19977923550832,132.9926842662223,134.38430981746646,17834600
2021-07-09,138.07167053222656,138.40848635513726,135.24411096359202,135.6607114124253,13694500
2021-07-12,140.04830932617188,141.07651534953,136.44960176952983,136.81302151444098,19940400
2021-07-13,137.9652862548828,139.50759505901357,136.05957128535965,138.31984699870512,22671700
2021-07-14,137.49549865722656,139.41008600877203,135.57205235941692,138.23119695041603,14622800
2021-07-15,137.79689025878906,138.7453115430436,136.23684997798162,136.4141235939525,11539300
2021-07-16,134.6502227783203,138.5237057740701,133.86134374994975,138.24007071476723,14002700
2021-07-19,130.27149963378906,132.79769250299162,129.15466373141084,131.67198412889726,22172900
2021-07-20,132.7001953125,133.94998308965623,129.70422117589024,129.87263584394012,15385200
