Date,Ticker,Market,Close,rsi_14,price_sma50_ratio,obv_zscore_50,macd_norm,macd_signal_norm,bb_pct_b,bb_width,atr_pct,return_1d,return_5d,return_10d,volatility_10d,volume_ratio_20d
2023-01-03,SCOM,Kenya,24.05,,,,0.0,0.0,,,,,,,,
2023-01-04,SCOM,Kenya,23.9,,,,-0.0005006615885275469,-0.00010013231770550938,,,,-0.006237006237006293,,,,
2023-01-05,SCOM,Kenya,23.9,,,,-0.000887212273687058,-0.00025754830890181913,,,,0.0,,,,
2023-01-06,SCOM,Kenya,23.5,,,,-0.0025578616630392895,-0.0007211180205313806,,,,-0.0167364016736401,,,,
2023-01-09,SCOM,Kenya,23.35,,,,-0.0043628252420234775,-0.0014531654246783554,,,,-0.006382978723404209,,,,
2023-01-10,SCOM,Kenya,22.95,,,,-0.007204337929002589,-0.0026236619271073447,,,,-0.017130620985010836,-0.04573804573804574,,,
2023-01-11,SCOM,Kenya,22.65,,,,-0.010468533539288687,-0.004220436640824221,,,,-0.013071895424836666,-0.05230125523012552,,,
2023-01-12,SCOM,Kenya,22.25,,,,-0.014496682135426054,-0.006336384154354194,,,,-0.017660044150110354,-0.06903765690376562,,,
2023-01-13,SCOM,Kenya,22.0,,,,-0.0184435320034167,-0.008815417216479007,,,,-0.011235955056179803,-0.06382978723404253,,,
2023-01-16,SCOM,Kenya,21.55,,,,-0.02330493824321841,-0.01186058593217178,,,,-0.020454545454545392,-0.0770877944325482,,,
2023-01-17,SCOM,Kenya,21.55,,,,-0.02654640755749255,-0.014797750257235934,,,,0.0,-0.061002178649237404,-0.10395010395010396,0.0074122115886979985,
2023-01-18,SCOM,Kenya,20.6,,,,-0.033789700893081316,-0.019142076801662262,,,,-0.044083526682134555,-0.09050772626931558,-0.13807531380753124,0.012610931610795089,
2023-01-19,SCOM,Kenya,21.75,,,,-0.03188702854840215,-0.02088137930468706,,,,0.055825242718446466,-0.022471910112359605,-0.08995815899581583,0.0255487982440027,
2023-01-20,SCOM,Kenya,22.55,,,,-0.027487509258659493,-0.021609963044705506,,,0.03484320557491288,0.0367816091954023,0.025000000000000133,-0.04042553191489362,0.029124861508669237,
2023-01-23,SCOM,Kenya,23.0,41.02564102564101,,,-0.022571319721014883,-0.02146399148013721,,,0.03447204968944099,0.019955654101995624,0.06728538283062635,-0.014989293361884481,0.03003611035405434,
2023-01-24,SCOM,Kenya,23.05,42.60869565217393,,,-0.018669729887162017,-0.02086789145398445,,,0.035636814378679875,0.0021739130434783593,0.06960556844547572,0.004357298474945592,0.029507566908123204,
2023-01-25,SCOM,Kenya,23.55,47.20000000000002,,,-0.01341707189404988,-0.01902328352579398,,,0.040188049742189855,0.021691973969631295,0.14320388349514568,0.03973509933774855,0.029735610325754593,
2023-01-26,SCOM,Kenya,23.25,47.96747967479675,,,-0.01061077235413215,-0.017537150669792393,,,0.04208909370199692,-0.01273885350318471,0.06896551724137923,0.04494382022471921,0.029370282523721772,
2023-01-27,SCOM,Kenya,23.25,49.16666666666666,,,-0.008155546064447617,-0.01566082974872344,,,0.04132104454685098,0.0,0.03104212860310418,0.05681818181818188,0.028900163006977637,
2023-01-30,SCOM,Kenya,23.05,50.86206896551725,,,-0.006884427346938994,-0.014014257847967233,0.5721480586976085,0.1612026552760521,0.0426092345832042,-0.008602150537634357,0.0021739130434783593,0.06960556844547572,0.027925134285522686,0.07805693044229498
2023-01-31,SCOM,Kenya,23.4,56.410256410256416,,,-0.004475393949672072,-0.011938793094059022,0.6835514986288515,0.15504319701116873,0.04242979242979243,0.015184381778741818,0.015184381778741818,0.08584686774941974,0.027908973224830384,0.17758170547815125
2023-02-01,SCOM,Kenya,24.0,64.46280991735537,,,-0.0005579059844822432,-0.009423839810262487,0.8494062377426229,0.1562576152905784,0.04404761904761904,0.025641025641025772,0.019108280254777066,0.16504854368932032,0.021177197597719917,0.6518232581070411
2023-02-02,SCOM,Kenya,24.0,67.24137931034483,,,0.002430049801731856,-0.007053061887863619,0.8452747404791073,0.15745644479591905,0.04300595238095237,0.0,0.032258064516129004,0.10344827586206895,0.016155266517563726,0.18484440660276305
2023-02-03,SCOM,Kenya,24.5,75.21367521367522,,,0.006274546536175037,-0.004272388172233624,0.9373479918644997,0.16913900170060553,0.041545189504373164,0.02083333333333326,0.053763440860215006,0.0864745011086474,0.013839897085674947,0.15496435482747808
2023-02-06,SCOM,Kenya,24.45,74.57627118644066,,,0.00910975780252049,-0.0016029485693846153,0.8854979408725822,0.17951591965992358,0.04075372480280454,-0.0020408163265306367,0.06073752711496749,0.06304347826086953,0.01354658841393506,0.8183786332383863
2023-02-07,SCOM,Kenya,24.0,81.48148148148148,,,0.0099318053653219,0.0006799579890159184,0.7554142430816113,0.18448626153206069,0.041369047619047604,-0.018404907975460127,0.025641025641025772,0.04121475054229928,0.015631242267173853,0.31442971333743697
2023-02-08,SCOM,Kenya,24.0,76.47058823529412,,,0.010328852857173368,0.002609736962647409,0.733991120973228,0.18823653143406285,0.03883928571428571,0.0,0.0,0.019108280254777066,0.01438265424156682,0.0982902614963336
2023-02-09,SCOM,Kenya,24.1,71.83098591549296,,,0.010809566034301464,0.00424103974971632,0.733001907342873,0.18967272824640943,0.03408417308832246,0.004166666666666652,0.004166666666666652,0.03655913978494629,0.01342079815180231,0.09771881146389436
2023-02-10,SCOM,Kenya,24.1,67.74193548387098,,,0.011096585678150413,0.0056121489354031395,0.7106260727403342,0.18737077956967935,0.03363959691760522,0.0,-0.01632653061224487,0.03655913978494629,0.01342079815180231,0.0982754334817311
2023-02-13,SCOM,Kenya,23.75,60.294117647058805,,,0.010184392231552184,0.006592761876818754,0.611387548789735,0.17535252946327384,0.033834586466165426,-0.014522821576763545,-0.02862985685071573,0.030368763557483636,0.014134354757954447,0.03468354047731878
2023-02-14,SCOM,Kenya,23.7,52.5423728813559,,,0.009076696197562512,0.00710067576523218,0.5793258371639628,0.16025443304011228,0.029234478601567217,-0.002105263157894721,-0.012500000000000067,0.012820512820512775,0.013534705170831133,0.1057598815375146
2023-02-15,SCOM,Kenya,23.7,58.49056603773583,,,0.008088571238825937,0.007298254859950931,0.5533997909292124,0.1132781396032774,0.026974080771549135,0.0,-0.012500000000000067,-0.012500000000000067,0.010514863822237685,0.40846695607511485
2023-02-16,SCOM,Kenya,23.6,56.36363636363639,,,0.006914807160222287,0.007246305166988087,0.4756816023934277,0.08693685081829101,0.02618038740920097,-0.00421940928270037,-0.020746887966805017,-0.016666666666666607,0.01054564394346949,3.914039127633652
2023-02-17,SCOM,Kenya,23.65,61.538461538461505,,,0.00604573754447084,0.006993935735225463,0.46904770758213843,0.0749600573529821,0.023708849290244645,0.0021186440677964935,-0.018672199170124637,-0.03469387755102049,0.007267491295130301,0.05395260628650305
2023-02-20,SCOM,Kenya,23.5,52.083333333333364,,,0.004832092444758321,0.0065972807915246744,0.36165121265738753,0.0700575170220193,0.023404255319148932,-0.006342494714587699,-0.010526315789473717,-0.03885480572597133,0.007298715106554812,0.20681154371767732
2023-02-21,SCOM,Kenya,23.45,35.1351351351351,,,0.0036339340793199717,0.006015864806510642,0.3076956348437889,0.06568534696083302,0.021017362168748104,-0.0021276595744681437,-0.010548523206751037,-0.022916666666666696,0.0052355937270563155,0.46025196725570583
2023-02-22,SCOM,Kenya,23.5,36.84210526315788,,,0.002809820168916012,0.005364416109108293,0.34195951083842013,0.06594607340978902,0.020668693009118555,0.002132196162046851,-0.008438818565400852,-0.02083333333333337,0.005381207029551001,3.373208047223226
2023-02-23,SCOM,Kenya,23.4,13.333333333333286,,,0.0018064150065781616,0.004671155772735971,0.2681689772870751,0.06446170186421304,0.019383394383394398,-0.004255319148936176,-0.008474576271186529,-0.02904564315352709,0.00493362621196745,0.2936400193116516
2023-02-24,SCOM,Kenya,23.35,13.333333333333329,,,0.0008215799820793032,0.003909242594515105,0.22774084695525884,0.06338039350712499,0.018201284796573892,-0.002136752136752018,-0.012684989429175397,-0.03112033195020747,0.004837863664407968,0.17870554317278806
2023-02-27,SCOM,Kenya,23.0,14.28571428571425,,,-0.0011757586252450999,0.0029398331299745526,0.00370040507579443,0.06424479956395791,0.017236024844720522,-0.014989293361884481,-0.021276595744680882,-0.03157894736842104,0.00496044573424249,2.4095202248115664
2023-02-28,SCOM,Kenya,23.3,29.411764705882362,,,-0.0016746724077966212,0.0019866504794506233,0.20777789900378826,0.0651922841733154,0.01670754138565299,0.01304347826086949,-0.006396588486140664,-0.016877637130801593,0.007156440225487581,0.9860208567658052
2023-03-01,SCOM,Kenya,23.35,27.272727272727252,,,-0.0018831096265255556,0.0012092952026160715,0.2643284424879426,0.06618809283631602,0.017283572958091176,0.0021459227467810482,-0.006382978723404209,-0.014767932489451407,0.007243974338767734,0.5929352813176465
2023-03-02,SCOM,Kenya,23.5,33.33333333333327,,,-0.0015056380953884048,0.0006601334185762858,0.37488305002899275,0.06577513520264319,0.01793313069908816,0.0064239828693790635,0.004273504273504258,-0.00423728813559332,0.007568622855416304,0.8239254634091829
2023-03-06,SCOM,Kenya,23.0,30.76923076923073,,,-0.002962466784462422,-5.290604083882476e-05,0.0815553851875679,0.06272978703932534,0.019099378881987594,-0.021276595744680882,-0.014989293361884481,-0.02748414376321351,0.009946360991767373,1.2386321053119347
